id,bank_id,latitude,longitude,changeset,uid,timestamp,version
40,4,39.8847619,32.8536413,45790800,1686268,2017-02-03T21:11:06Z,2
41,0,39.8707195,32.8602304,37896464,1686268,2016-03-17T13:33:57Z,2
42,18,39.8704505,32.8600998,37896464,1686268,2016-03-17T13:33:58Z,2
43,3,39.893841,32.8474281,45351477,1686268,2017-01-21T15:00:58Z,3
44,8,39.8935484,32.8474334,45351477,1686268,2017-01-21T15:00:58Z,2
45,9,39.8915584,32.7895724,45361182,689014,2017-01-22T00:35:30Z,3
46,2,39.8921284,32.788125,45362557,689014,2017-01-22T04:42:56Z,5
47,17,39.9672628,32.7181378,5844302,51045,2010-09-22T10:42:03Z,2
48,3,39.8924914,32.7881916,45418444,689014,2017-01-24T02:13:59Z,4
49,4,39.8919706,32.8747668,45376992,1686268,2017-01-22T19:25:43Z,2
50,18,39.8944172,32.8774049,45376992,1686268,2017-01-22T19:25:43Z,4
51,18,39.8865891,32.8575983,5460025,11395,2010-08-11T07:24:25Z,3
52,17,39.8997283,32.8179216,5466322,70696,2010-08-11T19:54:44Z,2
53,18,39.9358491,32.8942696,41060117,1386706,2016-07-27T11:14:48Z,2
54,9,39.9014506,32.8530697,26337994,2425857,2014-10-26T09:38:18Z,2
55,5,39.9015473,32.8533647,26337994,2425857,2014-10-26T09:38:18Z,2
56,2,39.9036132,32.8526271,10087391,567817,2011-12-11T09:06:22Z,1
57,9,39.9003393,32.8569694,10862411,616400,2012-03-03T21:09:48Z,1
58,2,39.9003022,32.8564169,10862411,616400,2012-03-03T21:09:49Z,1
59,9,39.9094453,32.8621051,22292330,1964715,2014-05-12T13:53:58Z,3
60,18,39.9005037,32.8069349,12636993,785467,2012-08-06T18:52:01Z,1
61,8,39.9016395,32.8101911,12636993,785467,2012-08-06T18:55:34Z,1
62,4,39.9012856,32.8086354,12636993,785467,2012-08-06T18:55:53Z,1
63,2,39.9219814,32.8172462,12707863,800060,2012-08-12T22:34:30Z,1
64,18,39.9233907,32.8253196,13003201,861369,2012-09-05T22:39:19Z,1
65,2,39.8475392,32.8287054,45286661,1686268,2017-01-19T01:53:27Z,2
